Date,Daily,Deaths,Response
3/27/2020,0,0,58.01
3/28/2020,1150,76,58.01
3/29/2020,34,13,58.01
3/30/2020,50,14,58.01
3/31/2020,652,18,58.01
4/1/2020,533,13,61.86
4/2/2020,397,10,61.86
4/3/2020,387,22,61.86
4/4/2020,294,26,61.86
4/5/2020,116,8,61.86
4/6/2020,142,24,61.86
4/7/2020,504,52,61.86
4/8/2020,688,43,61.86
4/9/2020,531,45,61.86
4/10/2020,505,25,61.86
4/11/2020,149,13,61.86
4/12/2020,221,23,61.86
4/13/2020,66,11,61.86
4/14/2020,287,56,61.86
4/15/2020,1060,46,61.86
4/16/2020,144,45,61.86
4/17/2020,836,40,61.86
4/18/2020,684,45,61.86
4/19/2020,240,14,61.86
4/20/2020,147,15,61.86
4/21/2020,527,38,61.86
4/22/2020,349,25,61.86
4/23/2020,534,134,61.86
4/24/2020,575,98,61.86
4/25/2020,1300,89,63.78
4/26/2020,415,15,63.78
4/27/2020,476,58,63.78
4/28/2020,1410,149,63.78
4/29/2020,1240,118,63.78
4/30/2020,1510,83,63.78
5/1/2020,938,85,63.78
5/2/2020,407,54,63.78
5/3/2020,328,12,63.78
5/4/2020,251,10,66.35
5/5/2020,1070,118,66.35
5/6/2020,2050,109,66.35
5/7/2020,1090,76,66.35
5/8/2020,1090,124,66.35
5/9/2020,1420,113,66.35
5/10/2020,520,43,66.35
5/11/2020,464,17,66.35
5/12/2020,911,124,66.35
5/13/2020,1720,89,66.35
5/14/2020,1470,100,66.35
5/15/2020,2120,78,66.35
5/16/2020,1440,118,66.35
5/17/2020,502,43,66.35
5/18/2020,257,21,66.35
5/19/2020,1450,173,66.35
5/20/2020,1830,106,66.35
5/21/2020,1990,103,66.35
5/22/2020,1520,114,66.35
5/23/2020,1910,139,66.35
5/24/2020,640,43,68.91
5/25/2020,677,21,68.91
5/26/2020,1350,136,68.91
5/27/2020,1710,135,68.91
5/28/2020,3460,132,68.91
5/29/2020,3020,158,68.91
5/30/2020,1880,123,68.91
5/31/2020,1510,41,66.35
6/1/2020,995,24,66.35
6/2/2020,3320,139,66.35
6/3/2020,2330,121,66.35
6/4/2020,2570,110,66.35
6/5/2020,2110,131,66.35
6/6/2020,2410,96,66.35
6/7/2020,935,19,66.35
6/8/2020,903,17,66.35
6/9/2020,2330,136,66.35
6/10/2020,2430,159,66.35
6/11/2020,2620,125,66.35
6/12/2020,2550,123,66.35
6/13/2020,2400,119,66.35
6/14/2020,3170,24,66.35
6/15/2020,2250,29,66.35
6/16/2020,4230,167,66.35
6/17/2020,456,140,66.35
6/18/2020,398,138,66.35
6/19/2020,6880,158,66.35
6/20/2020,184,116,66.35
6/21/2020,949,16,66.35
6/22/2020,1190,17,66.35
6/23/2020,2480,179,66.35
6/24/2020,3050,92,66.35
6/25/2020,4050,119,66.35
6/26/2020,3850,86,66.35
6/27/2020,1600,102,66.35
6/28/2020,1350,21,66.35
6/29/2020,907,23,66.35
6/30/2020,2110,136,66.35
7/1/2020,2210,96,66.35
7/2/2020,5660,112,68.91
7/3/2020,2090,109,68.91
7/4/2020,6880,118,68.91
7/5/2020,2110,24,68.91
7/6/2020,360,13,68.91
7/7/2020,2270,109,68.91
7/8/2020,2070,121,68.91
7/9/2020,2170,100,68.91
7/10/2020,2690,125,68.91
7/11/2020,1930,87,68.91
7/12/2020,1440,36,68.91
7/13/2020,1210,19,68.91
7/14/2020,4790,105,68.91
7/15/2020,1520,115,68.91
